Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
FMA Direct,DS300BB,Digital,1.60,1.59,0.79,1.40,4.8,40.0,4.8,0.26,(add),Dual Bearings,Plastic,19.95
FMA Direct,DS300BB,Digital,1.60,1.59,0.79,1.40,6.0,50.0,6.0,0.16,(add),Dual Bearings,Plastic,19.95
FMA Direct,DS300BB,Digital,1.60,1.59,0.79,1.40,8.4,60.0,8.4,0.13,(add),Dual Bearings,Plastic,19.95
FMA Direct,DS300BB,Digital,1.60,1.59,0.79,1.40,12.6,70.0,12.6,0.12,(add),Dual Bearings,Plastic,19.95
FMA Direct,DS300MBB,Digital,2.00,1.59,0.79,1.40,4.8,40.0,4.8,0.26,(add),Dual Bearings,Metal,24.95
FMA Direct,DS300MBB,Digital,2.00,1.59,0.79,1.40,6.0,50.0,6.0,0.16,(add),Dual Bearings,Metal,24.95
FMA Direct,PS100,(add),0.67,1.16,0.53,1.14,4.8,24.0,4.8,0.16,(add),Bushing,Plastic,23.95
FMA Direct,PS100,(add),0.67,1.16,0.53,1.14,6.0,28.0,6.0,0.13,(add),Bushing,Plastic,23.95
FMA Direct,PS100B,(add),0.67,1.16,0.53,1.14,4.8,30.0,4.8,0.16,(add),(add),Plastic,28.95
FMA Direct,PS100B,(add),0.67,1.16,0.53,1.14,6.0,36.0,6.0,0.13,(add),(add),Plastic,28.95
FMA Direct,PS105M,(add),0.78,1.16,0.53,1.14,4.8,30.0,4.8,0.16,(add),(add),Metal,28.95
FMA Direct,PS105M,(add),0.78,1.16,0.53,1.14,6.0,36.0,6.0,0.13,(add),(add),Metal,28.95
FMA Direct,PS105MB,(add),0.78,1.16,0.53,1.14,4.8,30.0,4.8,0.16,(add),Single Bearing,Metal,30.95
FMA Direct,PS105MB,(add),0.78,1.16,0.53,1.14,6.0,36.0,6.0,0.13,(add),Single Bearing,Metal,30.95
FMA Direct,PS20,(add),0.71,0.87,0.39,0.85,4.8,12.5,4.8,0.10,(add),(add),Plastic,18.95
