Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
Blue Bird,BMS-631,Analog,1.80,1.6,0.8,1.5,6.0,86.0,6.0,0.08,(add),Dual Bearings,Metal,11.76
Blue Bird,BMS-631MG,Analog,1.62,1.6,0.8,1.5,4.8,69.0,4.8,0.1,(add),Dual Bearings,Metal,25.29
Blue Bird,BMS-631MG,Analog,1.62,1.6,0.8,1.5,6.0,86.0,6.0,0.08,(add),Dual Bearings,Metal,25.29
Blue Bird,BMS-661MG+HS,Analog,1.73,1.6,0.8,1.5,4.8,69.0,4.8,0.1,(add),Dual Bearings,Metal,35.53
Blue Bird,BMS-661MG+HS,Analog,1.73,1.6,0.8,1.5,6.0,89.0,6.0,0.08,(add),Dual Bearings,Metal,35.53
Blue Bird,BMS-705,Analog,0.99,1.65,0.85,0.87,4.8,83.0,4.8,0.18,(add),Dual Bearings,(add),17.47
Blue Bird,BMS-705MG,Analog,1.27,1.65,0.85,0.87,4.8,83.0,4.8,0.18,(add),(add),Metal,22.28
Blue Bird,BMS-706,Analog,0.92,1.65,0.85,0.87,4.8,65.0,4.8,0.13,(add),Dual Bearings,(add),17.47
Blue Bird,BMS-706,Analog,0.92,1.65,0.85,0.87,6.0,73.0,6.0,0.11,(add),Dual Bearings,(add),17.47
Blue Bird,BMS-706MG,Analog,1.13,1.65,0.85,0.87,4.8,65.0,4.8,0.13,(add),(add),Metal,22.28
Blue Bird,BMS-706MG,Analog,1.13,1.65,0.85,0.87,6.0,73.0,6.0,0.11,(add),(add),Metal,22.28
Blue Bird,BMS-760DD,Digital,0.99,1.65,0.85,0.87,4.8,79.2,4.8,0.18,(add),Dual Bearings,(add),27.25
Blue Bird,BMS-760DMG,Digital,1.20,1.65,0.85,0.87,4.8,79.1,4.8,0.18,(add),Dual Bearings,Metal,33.20
Blue Bird,BMS-761DD,Digital,0.92,1.65,0.85,0.87,4.8,62.0,4.8,0.13,(add),Dual Bearings,(add),21.80
Blue Bird,BMS-761DD,Digital,0.92,1.65,0.85,0.87,6.0,75.0,6.0,0.11,(add),Dual Bearings,(add),21.80
Blue Bird,BMS-761DMG,Digital,1.13,1.65,0.85,0.87,4.8,62.0,4.8,0.13,3-pole,Dual Bearings,Metal,21.60
Blue Bird,BMS-761DMG,Digital,1.13,1.65,0.85,0.87,6.0,75.0,6.0,0.11,3-pole,Dual Bearings,Metal,21.60
Blue Bird,BMS-811DMG+HS,Digital,1.59,1.6,0.79,1.46,4.8,70.0,4.8,0.15,(add),Dual Bearings,Metal,31.12
Blue Bird,BMS-811DMG+HS,Digital,1.59,1.6,0.79,1.46,6.0,84.0,6.0,0.13,(add),Dual Bearings,Metal,31.12
Blue Bird,BMS-821DMG+HS,Digital,1.59,1.6,0.79,1.46,4.8,82.0,4.8,0.11,(add),Dual Bearings,Metal,42.36
Blue Bird,BMS-825DMG+HS,Digital,1.59,1.6,0.79,1.46,4.8,70.0,4.8,0.11,Coreless,Dual Bearings,Metal,59.16
Blue Bird,BMS-825DMG+HS,Digital,1.59,1.6,0.79,1.46,6.0,84.0,6.0,0.09,Coreless,Dual Bearings,Metal,59.16
Blue Bird,BMS-885DMAX,Digital,0.58,1.02,0.51,1.02,4.8,56.9,4.8,0.15,(add),Dual Bearings,Metal,42.50
Blue Bird,BMS-990DMG,Digital,1.59,1.6,0.83,1.0,4.8,100.0,4.8,0.11,Coreless,Single Bearing,Metal,42.24
Caster Racing,A-6650,Analog,(add),,,,4.8,83.3,,,(add),(add),(add),(add)
Cirrus,CS-35,(add),0.95,1.3,0.7,1.2,4.8,55.0,4.8,0.14,Brushed,Single Bearing,(add),24.99
Cirrus,CS-35,(add),0.95,1.3,0.7,1.2,6.0,67.0,6.0,0.11,Brushed,Single Bearing,(add),24.99
Cirrus,CS-35MG,(add),1.09,1.3,0.7,1.2,4.8,55.0,4.8,0.14,Brushed,Single Bearing,(add),32.99
Cirrus,CS-35MG,(add),1.09,1.3,0.7,1.2,6.0,67.0,6.0,0.11,Brushed,Single Bearing,(add),32.99
Cirrus,CS-401MG,(add),0.55,1.16,0.51,1.02,4.8,50.0,4.8,0.15,(add),Bushing,Metal,24.99
Cirrus,CS-401MG,(add),0.55,1.16,0.51,1.02,6.0,57.0,6.0,0.14,(add),Bushing,Metal,24.99
Cirrus,CS-501BB,(add),0.92,1.65,0.85,0.87,4.8,65.0,4.8,0.13,(add),Dual Bearings,Plastic,29.99
Cirrus,CS-501BB,(add),0.92,1.65,0.85,0.87,6.0,76.0,6.0,0.11,(add),Dual Bearings,Plastic,29.99
