Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
Airtronics/ Sanwa,94556Z,Analog,0.56,1.06,0.49,1.06,6.0,39.0,6.0,0.19,Coreless,Bushing,Hybrid,(add)
Airtronics/ Sanwa,94557Z,(add),0.71,1.06,0.49,1.28,4.8,31.0,4.8,0.24,Coreless,(add),(add),(add)
Airtronics/ Sanwa,94557Z,(add),0.71,1.06,0.49,1.28,6.0,39.0,6.0,0.19,Coreless,(add),(add),(add)
Airtronics/ Sanwa,94558Z,Digital,0.71,1.06,0.49,1.28,4.8,43.0,4.8,0.23,(add),Bushing,Hybrid,(add)
Airtronics/ Sanwa,94558Z,Digital,0.71,1.06,0.49,1.28,6.0,54.0,6.0,0.18,(add),Bushing,Hybrid,(add)
Airtronics/ Sanwa,94702,Digital,1.44,1.54,0.79,1.42,4.8,46.0,4.8,0.18,(add),Bushing,Plastic,24.99
Airtronics/ Sanwa,94722,Digital,1.55,1.54,0.79,1.42,4.8,50.0,4.8,0.17,(add),Single Bearing,Plastic,29.99
Airtronics/ Sanwa,94731Z,Analog,1.80,1.54,0.79,1.40,4.8,77.0,4.8,0.17,Coreless,Dual Bearings,Plastic,74.95
Airtronics/ Sanwa,94731Z,Analog,1.80,1.54,0.79,1.40,6.0,96.0,6.0,0.14,Coreless,Dual Bearings,Plastic,74.95
Airtronics/ Sanwa,94732Z,Analog,1.80,1.54,0.79,1.38,4.8,68.0,4.8,0.19,Coreless,Dual Bearings,(add),89.95
Airtronics/ Sanwa,94734Z,Analog,1.73,1.46,0.79,1.38,4.8,73.0,4.8,0.40,(add),Dual Bearings,Hybrid,63.95
Airtronics/ Sanwa,94734Z,Analog,1.73,1.46,0.79,1.38,6.0,91.0,6.0,0.32,(add),Dual Bearings,Hybrid,63.95
Airtronics/ Sanwa,94737Z,Analog,1.94,1.54,0.79,1.38,4.8,56.0,4.8,0.15,Coreless,Dual Bearings,Hybrid,87.95
Airtronics/ Sanwa,94737Z,Analog,1.94,1.54,0.79,1.38,6.0,70.0,6.0,0.12,Coreless,Dual Bearings,Hybrid,87.95
Airtronics/ Sanwa,94738Z,(add),1.94,1.54,0.79,1.38,4.8,70.0,4.8,0.20,Coreless,Dual Bearings,Metal,74.95
